time,epoch,loss,accuracy,precision,recall,auc,mcc_05,mcc_09,mcc_099
00:13:28,0,0.5127057703956962,0.75790626,0.7439839,0.7864375,0.83475363,0.5166544,0.25907674,0.06986795
00:26:47,1,0.42735952069237826,0.81596875,0.8002613,0.842125,0.8924852,0.632804,0.37306845,0.11448358
00:40:05,2,0.38652686338499187,0.8414375,0.83412844,0.852375,0.91612,0.6830384,0.4616094,0.16609685
00:53:24,3,0.36913282806798814,0.853375,0.8427913,0.8688125,0.92690635,0.7070871,0.49972945,0.2247037
01:06:41,4,0.34951439405977724,0.864875,0.8589082,0.8731875,0.9375509,0.7298508,0.55646706,0.2552447
01:19:58,5,0.3388991449177265,0.8736875,0.86018074,0.8924375,0.9427491,0.7479011,0.5593629,0.25028643
01:33:15,6,0.33114664847403763,0.8788437,0.86854744,0.8928125,0.9472888,0.7579834,0.5816491,0.2788465
01:44:43,7,0.3214673144519329,0.8849375,0.8784564,0.8935,0.951575,0.7699879,0.6099658,0.29639113
01:54:50,8,0.3205653192177415,0.8860625,0.8775211,0.897375,0.9524047,0.77232265,0.6141449,0.28890407
02:08:18,9,0.3144152554683387,0.889,0.8812791,0.899125,0.9551289,0.77815956,0.615908,0.31784678
02:21:48,10,0.3107585251480341,0.8918125,0.88309705,0.9031875,0.9570671,0.78382784,0.62978476,0.3298687
02:35:18,11,0.3090937071815133,0.89334375,0.88112396,0.909375,0.9575895,0.78709215,0.6222319,0.3140662
02:48:46,12,0.3048433492854238,0.8964375,0.89029044,0.9043125,0.95960623,0.7929734,0.6379028,0.32479382
03:02:07,13,0.2969611163288355,0.9005625,0.8928528,0.910375,0.9621999,0.8012793,0.6534144,0.33256903
03:15:29,14,0.29547609863057733,0.9021875,0.8925217,0.9145,0.96272147,0.80461895,0.655836,0.33204526
03:28:51,15,0.29661125913262365,0.90221876,0.89267194,0.914375,0.962637,0.80467534,0.6504866,0.33065945
03:42:12,16,0.2928622732833028,0.90396875,0.894814,0.9155625,0.96377933,0.8081548,0.6590126,0.32062888
03:55:33,17,0.2893757906444371,0.90659374,0.89641094,0.9194375,0.96503335,0.81345594,0.6655505,0.33358467
04:08:55,18,0.2894049217924476,0.90378124,0.8915692,0.919375,0.9650063,0.8079555,0.661241,0.34604
04:22:16,19,0.28243357000499963,0.9081875,0.89881533,0.9199375,0.9672832,0.8166005,0.6735068,0.3708781
04:35:37,20,0.2820943815521896,0.9093438,0.8980249,0.9235625,0.96738493,0.8190187,0.67011833,0.3397664
04:49:28,21,0.28433490781486037,0.9077188,0.8953876,0.9233125,0.96706116,0.81583434,0.6677779,0.3575617
05:00:52,22,0.285884785015136,0.9068437,0.8959309,0.920625,0.9664562,0.8139968,0.66581047,0.3540958
05:13:36,23,0.2804239377267659,0.9076875,0.89808375,0.91975,0.9680211,0.8156124,0.67628735,0.35865393
05:26:52,24,0.27579367491602896,0.912125,0.90158343,0.92525,0.9691957,0.8245341,0.6775233,0.36253121
05:40:07,25,0.27701901385188105,0.9097813,0.8960435,0.927125,0.96939725,0.820056,0.68302304,0.3718541
05:53:22,26,0.278366198502481,0.9115625,0.89957523,0.9265625,0.96912545,0.8234957,0.67526287,0.37406513
06:06:37,27,0.27819489789009094,0.90984374,0.896583,0.9265625,0.96888083,0.82014614,0.67284673,0.35443196
06:19:55,28,0.26942083236202596,0.91525,0.90591395,0.92675,0.9714729,0.83071977,0.69319576,0.3795472
06:33:13,29,0.2721037644222379,0.9133437,0.9036314,0.925375,0.9708681,0.8269269,0.69730693,0.38911137
06:46:32,30,0.27300641006976367,0.91440624,0.9044221,0.92675,0.97069204,0.8290652,0.68455946,0.39045396
06:59:51,31,0.26801093452423813,0.916375,0.903513,0.9323125,0.9718445,0.83317333,0.692179,0.37830684
07:13:09,32,0.2707921587340534,0.91546875,0.90334326,0.9305,0.9714393,0.83131325,0.6912997,0.38963038
07:26:25,33,0.2738079858161509,0.9143438,0.9036225,0.927625,0.9701817,0.82898,0.6848802,0.35962498
07:39:43,34,0.2699993392713368,0.9140625,0.9018561,0.92925,0.9713701,0.8285073,0.68705434,0.38871592
07:53:02,35,0.2677259894683957,0.9155625,0.905328,0.9281875,0.97207373,0.8313901,0.69783235,0.3838964
08:06:18,36,0.2655900468081236,0.91575,0.9033471,0.931125,0.97257304,0.8318934,0.6999665,0.3968626
