time,epoch,loss,accuracy,precision,recall,auc,mcc_05,mcc_09,mcc_099
00:05:52,0,0.6227073385864497,0.66246873,0.6435474,0.728375,0.72402483,0.32779765,0.03875256,-0.0055902572
00:11:35,1,0.4689220028817654,0.79225,0.7798659,0.814375,0.8687436,0.58507305,0.31668577,0.08682744
00:17:17,2,0.40547513876482844,0.83290625,0.82178456,0.8501875,0.9078246,0.66621053,0.4312057,0.14916115
00:22:55,3,0.36604498041793704,0.855,0.8468914,0.8666875,0.9284911,0.71019405,0.5065711,0.19084837
00:28:35,4,0.3538424129076302,0.8648437,0.8534666,0.8809375,0.9358992,0.73006576,0.53746885,0.2340977
00:34:14,5,0.33516675071045754,0.876125,0.8689761,0.8858125,0.94491166,0.7523912,0.5719664,0.28057504
00:39:54,6,0.3217039176225662,0.883625,0.87568855,0.8941875,0.9508866,0.7674213,0.599261,0.3003036
00:45:33,7,0.3213414780423045,0.88465625,0.87713706,0.894625,0.9517122,0.7694655,0.6005228,0.29093716
00:51:12,8,0.3097708365544677,0.89346874,0.8882995,0.900125,0.9560881,0.7870073,0.61898917,0.31167057
00:56:52,9,0.3137490870840848,0.8925,0.8833476,0.9044375,0.9553747,0.78522384,0.6116844,0.30063826
01:02:31,10,0.3007317564934492,0.8975313,0.88776445,0.910125,0.959898,0.7953148,0.6315084,0.3351692
01:08:11,11,0.2997063356488943,0.898,0.8884822,0.91025,0.9607136,0.796239,0.63849026,0.3441443
01:13:51,12,0.300741032063961,0.8982813,0.8903044,0.9085,0.96087724,0.7967289,0.64241785,0.34468627
01:19:31,13,0.29113563389331104,0.90146875,0.8915097,0.9141875,0.9637112,0.8031974,0.65333825,0.33997387
01:25:10,14,0.2938268483765423,0.902,0.89233863,0.9143125,0.96320295,0.80424386,0.6494531,0.348292
01:30:50,15,0.2914559078030288,0.9028438,0.8925635,0.9159375,0.96419495,0.8059639,0.65931404,0.35207656
01:36:30,16,0.2881574541032314,0.90409374,0.89430994,0.9165,0.965336,0.8084364,0.66161543,0.3677265
01:42:09,17,0.28616417817398904,0.9048125,0.89173824,0.9215,0.9659025,0.8100763,0.667993,0.34480396
01:47:49,18,0.2847928971759975,0.90571874,0.8956543,0.9184375,0.96656644,0.81170017,0.67556804,0.36353108
