time,epoch,loss,accuracy,precision,recall,auc,mcc_05,mcc_09,mcc_099
00:07:26,0,0.49292229168862106,0.7728438,0.757658,0.8023125,0.8504459,0.5466378,0.29663047,0.088736504
00:14:57,1,0.4122634631767869,0.825125,0.80828494,0.8524375,0.9010143,0.6512223,0.40344074,0.1397008
00:22:06,2,0.3749009905308485,0.84915626,0.8331048,0.87325,0.9228212,0.6991247,0.47973555,0.19675207
00:29:26,3,0.35937364408001304,0.85896873,0.8484076,0.874125,0.93226606,0.71826756,0.521726,0.25265795
00:36:55,4,0.34722791982255874,0.86925,0.8629438,0.8779375,0.939317,0.7386115,0.5532866,0.26845756
00:43:59,5,0.341573141053319,0.87334377,0.861264,0.8900625,0.9429251,0.7471053,0.5626107,0.27006432
00:51:22,6,0.3374165583960712,0.87725,0.8674662,0.8905625,0.94582385,0.75476754,0.5818476,0.2654748
00:58:46,7,0.3297963948175311,0.88009375,0.8685981,0.8956875,0.948975,0.7605575,0.58357227,0.28339043
01:05:52,8,0.3249059805907309,0.8842813,0.87365544,0.8985,0.9515732,0.76887345,0.6077127,0.28116533
01:13:19,9,0.32105862263217566,0.88696873,0.8767265,0.9005625,0.953299,0.7742237,0.6096189,0.2951251
01:20:37,10,0.3188175573758781,0.88996875,0.885845,0.8953125,0.95421267,0.77998203,0.6195271,0.27294314
01:27:45,11,0.31300723845139145,0.89496875,0.88274485,0.9109375,0.9563169,0.79034066,0.62209034,0.28873745
01:35:16,12,0.3050225497111678,0.8934063,0.88332015,0.9065625,0.9594661,0.78708506,0.6357191,0.3306545
01:42:30,13,0.31296067625284196,0.8914375,0.8787952,0.908125,0.9571953,0.7833114,0.6196055,0.32981026
01:49:41,14,0.30241585806012156,0.8959375,0.88552827,0.9094375,0.96070755,0.7921638,0.6498938,0.32775578
01:57:11,15,0.3031191635578871,0.89778125,0.8861251,0.912875,0.960214,0.79592526,0.6364253,0.3131448
02:04:19,16,0.29642695108428596,0.9015313,0.8904759,0.9156875,0.96260065,0.80338454,0.6578761,0.31032494
02:11:36,17,0.29893275797739627,0.90128124,0.8905651,0.915,0.96189183,0.8028648,0.6512417,0.31927207
02:19:05,18,0.29397291895747185,0.9035,0.896025,0.9129375,0.9632314,0.80714375,0.6579048,0.31900012
02:26:12,19,0.2896436264999211,0.9038125,0.89343566,0.917,0.9650656,0.80790603,0.66398364,0.33595204
02:33:30,20,0.2934622285179794,0.9026875,0.89210075,0.9161875,0.96367514,0.8056687,0.65406394,0.30323362
02:40:50,21,0.28596827406063674,0.90634376,0.8970867,0.918,0.96603644,0.8129084,0.6610622,0.35848036
02:47:48,22,0.2902570859007537,0.9056563,0.8975317,0.915875,0.9647475,0.811482,0.6591733,0.31605878
02:55:16,23,0.2866427914202213,0.90675,0.89495087,0.9216875,0.96572524,0.8138633,0.66604936,0.32905003
03:02:29,24,0.2790392707027495,0.91003126,0.8992758,0.9235,0.9675213,0.82036024,0.6698137,0.34474322
03:09:34,25,0.28601331563293936,0.90671873,0.89185286,0.9256875,0.96582127,0.81402355,0.6617721,0.32270685
03:17:06,26,0.27763671219721436,0.9113125,0.9046858,0.9195,0.96861917,0.82273537,0.682673,0.36327952
03:24:11,27,0.27388679288327694,0.9094375,0.89925647,0.9221875,0.96936184,0.8191413,0.6833599,0.36752582
03:31:24,28,0.2756124638058245,0.9110938,0.9022198,0.922125,0.9687221,0.82238764,0.67745215,0.350699
03:38:53,29,0.278023727029562,0.9097813,0.8955656,0.92775,0.96827626,0.82009226,0.66877145,0.36831582
03:45:51,30,0.27174525371938946,0.9119375,0.90120524,0.9253125,0.9698148,0.8241699,0.6928029,0.35330933
03:53:12,31,0.2697568494565785,0.9121875,0.9001335,0.92725,0.9705493,0.82474935,0.69216627,0.3723589
04:00:31,32,0.27421333189308644,0.9109375,0.8987265,0.92625,0.96891564,0.8222607,0.6732421,0.34422827
04:07:28,33,0.2755310735628009,0.9109687,0.90214664,0.9219375,0.96885335,0.8221354,0.6813212,0.35987076
04:14:58,34,0.2670705615580082,0.914,0.9052368,0.9248125,0.97103465,0.82819366,0.690928,0.36540565
04:22:08,35,0.2701095457077026,0.9143125,0.9031748,0.928125,0.97032124,0.82894135,0.6869965,0.35055256
04:29:15,36,0.23922547920793294,0.92503124,0.91108024,0.942,0.97745895,0.8505525,0.7262542,0.38934046
04:36:46,37,0.23000816257670523,0.9273125,0.9145646,0.9426875,0.97896236,0.85502934,0.7425533,0.38960016
04:43:49,38,0.21885945604927837,0.93275,0.92157817,0.946,0.9815802,0.8658041,0.7531603,0.43165025
04:51:04,39,0.21896200564689935,0.9319375,0.91950953,0.94675,0.98109525,0.8642543,0.75402194,0.41422307
04:58:30,40,0.2139910722821951,0.93384373,0.92077345,0.949375,0.98185945,0.86810637,0.75509477,0.41304022
05:05:28,41,0.22054291696846484,0.931375,0.9168881,0.94875,0.9801272,0.86327136,0.7397378,0.39845154
05:12:52,42,0.21159274418838322,0.9338125,0.9209728,0.9490625,0.98214114,0.8680289,0.7596775,0.42554525
05:20:09,43,0.20932048502378164,0.9360312,0.92222965,0.952375,0.98231167,0.87252873,0.759181,0.4218138
05:27:08,44,0.20894714757986366,0.93284374,0.9203642,0.9476875,0.98267615,0.8660692,0.7588324,0.44288403
05:34:39,45,0.20669460400566458,0.93553126,0.9216944,0.9519375,0.9826788,0.87153184,0.75731564,0.4372695
05:41:48,46,0.20483808599598705,0.9377813,0.924438,0.9535,0.9830079,0.87599546,0.7620195,0.42621556
