time,epoch,loss,accuracy,precision,recall,auc,mcc_01,mcc_05,mcc_09,mcc_099
00:07:02,0,0.31394363678991793,0.908,0.055555556,0.0006868132,0.6324523,0.11375559,-0.0041358634,0.0,0.0
00:14:18,1,0.26323938646912576,0.909625,0.53580904,0.06920178,0.80271417,0.2801595,0.16859992,0.024954058,0.0
00:21:13,2,0.23426246596872807,0.9145,0.58506227,0.19448276,0.8593367,0.35841915,0.30354375,0.039495565,0.0
00:28:22,3,0.22404603169858456,0.91915625,0.6335878,0.25740868,0.87643933,0.37799162,0.3697629,0.061043244,0.0
00:35:24,4,0.21711467079818247,0.9216875,0.65579987,0.29653755,0.88815904,0.40233847,0.40674686,0.08115549,0.0
00:42:27,5,0.20612812088429927,0.9250625,0.6685473,0.32962447,0.90084213,0.42222825,0.43568024,0.10734425,0.0
00:49:22,6,0.19890048027038573,0.92809373,0.68195355,0.39320055,0.9107906,0.4502799,0.4835087,0.16707012,0.0
00:56:11,7,0.19473910915851594,0.92928123,0.69575334,0.40735695,0.91754097,0.46696264,0.49852443,0.19452253,0.017588608
01:03:04,8,0.18911773557960987,0.93375,0.7195122,0.44574177,0.9224669,0.47257116,0.53413945,0.23335248,0.035338115
01:08:51,9,0.18679157881438732,0.93490624,0.7214363,0.4577149,0.9248796,0.48651835,0.5427671,0.23473749,0.046883084
01:16:21,10,0.18315025612711908,0.935625,0.719443,0.47921675,0.9301083,0.4922282,0.5550591,0.2508725,0.049988206
01:23:03,11,0.18162314906716348,0.93671876,0.7262942,0.48727646,0.9311668,0.4947714,0.5633003,0.27724373,0.06376385
01:30:32,12,0.18019269035756588,0.93625,0.72276217,0.4854002,0.9354071,0.5082465,0.5604371,0.28166276,0.043289706
01:37:59,13,0.17735791665315628,0.9389375,0.7420477,0.5099044,0.93708897,0.5166039,0.58444864,0.3149188,0.100988306
01:44:46,14,0.18030947881937026,0.9379375,0.7308263,0.5059952,0.9357689,0.5109034,0.5767883,0.25548452,0.05824551
01:52:09,15,0.17806779706478118,0.93684375,0.71085495,0.5105209,0.93900853,0.52494353,0.57006,0.2545638,0.043388158
01:59:30,16,0.17578901721537113,0.93825,0.71609575,0.5267518,0.93999004,0.52923125,0.5823181,0.28962353,0.058492456
02:06:22,17,0.17229100748896597,0.94153124,0.7527981,0.53161514,0.94285154,0.524043,0.6030341,0.3404021,0.110445365
02:13:37,18,0.17750283025205135,0.93846875,0.7251093,0.5155387,0.93912506,0.52889585,0.5800638,0.2874022,0.07520739
02:20:55,19,0.1742944150865078,0.9388125,0.73137915,0.52105445,0.94324005,0.53456044,0.5861427,0.33909744,0.1222913
02:27:55,20,0.17543993695080282,0.93925,0.7333975,0.52299243,0.9427672,0.53631365,0.58837235,0.2962066,0.08834093
02:34:58,21,0.17215401738882063,0.940375,0.72595704,0.5406815,0.9445393,0.5420304,0.59569305,0.27906674,0.07756429
02:42:15,22,0.1709141952842474,0.94203126,0.7449726,0.55688417,0.946413,0.5453578,0.61414355,0.34890124,0.12215328
02:49:25,23,0.1598473075479269,0.9454375,0.7636196,0.5727147,0.95538324,0.5677319,0.6332021,0.354663,0.10655114
02:56:19,24,0.1530682815015316,0.9472188,0.7669008,0.60137695,0.96001923,0.5888578,0.6515219,0.3761992,0.124977455
