time,epoch,loss,accuracy,precision,recall,auc,mcc_05,mcc_09,mcc_099
00:06:53,0,0.5238569315152208,0.74445003,0.72191,0.7952365,0.8242622,0.49144173,0.22761162,0.043741215
00:13:37,1,0.4195993767518489,0.8218708,0.8080722,0.84426594,0.8975469,0.6443883,0.39497542,0.1207991
00:20:22,2,0.37775699440547794,0.84861666,0.8339032,0.8706493,0.9210579,0.69791126,0.47102502,0.17656381
00:27:06,3,0.35526467370021453,0.8633144,0.8528631,0.8781236,0.934221,0.7269476,0.5314216,0.22638713
00:33:52,4,0.339273143707642,0.873243,0.8613706,0.8896698,0.9422772,0.7468892,0.56209034,0.24019717
00:40:36,5,0.32924034348732656,0.8778447,0.8688739,0.89000446,0.9471652,0.755913,0.579094,0.26156554
00:47:21,6,0.32639908713456084,0.8812751,0.87342256,0.8917894,0.9492724,0.76271886,0.5867627,0.2816569
00:54:05,7,0.32335301418154966,0.8861836,0.87597066,0.89976573,0.9511328,0.7726523,0.5959472,0.26067206
01:00:48,8,0.31587878180794926,0.8884984,0.87972957,0.9000446,0.9542851,0.7772041,0.6092712,0.29692054
01:07:32,9,0.311732780974606,0.8917894,0.8814489,0.9053436,0.9559222,0.7838668,0.6121723,0.300377
01:14:17,10,0.3094508383374882,0.89399266,0.8841991,0.90673804,0.95715016,0.78824145,0.6218624,0.2928187
01:21:07,11,0.3080627488496845,0.89396477,0.8824039,0.90908074,0.9578958,0.78828984,0.62623364,0.30139408
01:29:21,12,0.30439333260285434,0.89708835,0.8862724,0.9110888,0.9592843,0.7944882,0.62912804,0.30697998
01:37:36,13,0.2957589839290477,0.89940315,0.8893057,0.9123717,0.96228826,0.7990751,0.6443583,0.33886728
01:45:52,14,0.2948767594770362,0.9003235,0.8886182,0.91538376,0.9626037,0.80101043,0.6405123,0.3269232
01:54:07,15,0.294277663510966,0.9008534,0.8876005,0.91794956,0.96312076,0.8021758,0.6504216,0.3334124
02:02:20,16,0.2927487350498284,0.90230364,0.89260244,0.9146586,0.9640731,0.8048531,0.6633402,0.35099947
02:10:35,17,0.28940377352174934,0.90626395,0.89483386,0.9207385,0.96453905,0.81286865,0.64155704,0.34868655
02:18:51,18,0.29024640434171833,0.90406066,0.88946235,0.9228023,0.9646337,0.80868965,0.64963716,0.33822045
02:29:08,19,0.2854147465306965,0.9066265,0.89456594,0.92190987,0.9659716,0.81363314,0.66334945,0.33662963
02:40:28,20,0.28337252079203745,0.90657073,0.891966,0.9252008,0.9666949,0.8137065,0.64837074,0.36522043
02:51:43,21,0.28217395795995454,0.91022426,0.8993755,0.9238063,0.9671264,0.82075125,0.66165555,0.36396325
03:03:02,22,0.28210921839896935,0.9077142,0.8970181,0.9211847,0.96752787,0.81572443,0.6670282,0.3593924
03:14:20,23,0.28011246356699204,0.90866244,0.89566344,0.92508924,0.96785915,0.8177663,0.66384995,0.35638282
03:25:34,24,0.27807985981431776,0.91022426,0.8983804,0.92508924,0.968646,0.8208113,0.67530864,0.34495986
03:36:55,25,0.2769901548004853,0.91069835,0.9002501,0.9237506,0.9691756,0.82167673,0.68276674,0.36238793
03:48:08,26,0.2773206199833933,0.9093039,0.8948983,0.9275435,0.96878344,0.81915295,0.66942924,0.35595953
03:59:28,27,0.27338585542454247,0.91337574,0.8992565,0.9310576,0.9700273,0.8272689,0.67766494,0.3677813
04:10:49,28,0.27494097245040083,0.91228807,0.89951897,0.9282686,0.9699194,0.82499766,0.6859272,0.3605858
04:22:08,29,0.27072585230823715,0.91379404,0.9039917,0.9259259,0.9708675,0.82783186,0.6949389,0.36040983
04:33:26,30,0.27022118631722086,0.91379404,0.9005453,0.9303324,0.9707673,0.82804126,0.69199085,0.3416066
04:44:41,31,0.27193014700063795,0.91493756,0.9021516,0.9308345,0.97053015,0.83029485,0.68834126,0.354235
04:56:02,32,0.26754541007244176,0.91552323,0.9000161,0.9349063,0.9715481,0.8316716,0.6827345,0.36818573
05:07:20,33,0.2678297726185606,0.91596943,0.90212995,0.9331772,0.9716818,0.83243203,0.6888004,0.37137482
05:18:34,34,0.2676830993585425,0.91538376,0.9004194,0.93406963,0.9717801,0.8313483,0.68682754,0.37470722
05:29:53,35,0.26370547718831017,0.9176428,0.9041835,0.93429273,0.97298217,0.83574915,0.69385356,0.37844726
05:39:43,36,0.2641672120296173,0.91758704,0.90649945,0.9312249,0.9729468,0.83548486,0.6962832,0.38356346
05:47:58,37,0.26528201387536043,0.91797745,0.9060857,0.9326194,0.9727061,0.83631366,0.6936446,0.38648984
05:56:13,38,0.2603354765927616,0.9171687,0.90352863,0.93406963,0.9740162,0.83481437,0.703507,0.39230573
06:05:23,39,0.26522955073343757,0.9162204,0.9016579,0.9343485,0.97279245,0.8329885,0.6919727,0.38562468
06:14:51,40,0.26110707025265173,0.9194835,0.9061842,0.93585455,0.9736828,0.8394171,0.7045085,0.36544096
06:24:18,41,0.259503831336377,0.9188978,0.9036766,0.937751,0.9742436,0.83839184,0.707504,0.3855653
06:33:45,42,0.2586468310227941,0.9209058,0.9083775,0.93624496,0.9745621,0.842208,0.7103519,0.40149203
06:43:14,43,0.25660206980600997,0.9194277,0.9026075,0.9403168,0.9750818,0.8395885,0.7086028,0.39378595
06:52:46,44,0.22846165901845397,0.93239623,0.9172228,0.9505801,0.9809369,0.865365,0.7407651,0.42253503
07:02:21,45,0.21969978483904956,0.93599397,0.9227649,0.9516399,0.9826577,0.8724152,0.7610586,0.44440562
07:11:58,46,0.211188893406147,0.9402053,0.92585796,0.95705044,0.9840235,0.88091063,0.774217,0.4505916
07:21:37,47,0.21042942607152787,0.93867135,0.92467195,0.95515394,0.983988,0.8778199,0.7735185,0.44744954
07:31:15,48,0.20808544315793376,0.9414045,0.9274102,0.95777553,0.98421043,0.8832826,0.77582633,0.4508744
07:39:41,49,0.20219166544945524,0.942297,0.9279046,0.95911425,0.98531514,0.88509476,0.7796288,0.46533546
