epoch,epochs,batch,batches,lr,loss
epoch,epochs,batch,batches,lr,loss
0,100,0,19,0.0002,0.6802557110786438
0,100,4,19,0.0002,0.6794525980949402
0,100,8,19,0.0002,0.5991559028625488
0,100,12,19,0.0002,0.5999459028244019
0,100,16,19,0.0002,0.6028604507446289
1,100,0,19,0.0002,0.5475761890411377
1,100,4,19,0.0002,0.5710947513580322
1,100,8,19,0.0002,0.5447589159011841
1,100,12,19,0.0002,0.5470057129859924
1,100,16,19,0.0002,0.4426876902580261
2,100,0,19,0.0002,0.3291982412338257
2,100,4,19,0.0002,0.3503415882587433
2,100,8,19,0.0002,0.33758294582366943
2,100,12,19,0.0002,0.29020798206329346
2,100,16,19,0.0002,0.3046741187572479
3,100,0,19,0.0002,0.16517062485218048
3,100,4,19,0.0002,0.1652132272720337
3,100,8,19,0.0002,0.14672163128852844
3,100,12,19,0.0002,0.1819653958082199
3,100,16,19,0.0002,0.15716254711151123
4,100,0,19,0.0002,0.1030828058719635
4,100,4,19,0.0002,0.13525843620300293
4,100,8,19,0.0002,0.11483999341726303
4,100,12,19,0.0002,0.13117782771587372
4,100,16,19,0.0002,0.11655314266681671
5,100,0,19,0.0002,0.0481024868786335
5,100,4,19,0.0002,0.08944614231586456
5,100,8,19,0.0002,0.06824443489313126
5,100,12,19,0.0002,0.10412105917930603
5,100,16,19,0.0002,0.10191614180803299
6,100,0,19,0.0002,0.07928122580051422
6,100,4,19,0.0002,0.09801772236824036
6,100,8,19,0.0002,0.08626830577850342
6,100,12,19,0.0002,0.1374146193265915
6,100,16,19,0.0002,0.272566556930542
7,100,0,19,0.0002,0.04200497642159462
7,100,4,19,0.0002,0.06421678513288498
7,100,8,19,0.0002,0.07406535744667053
7,100,12,19,0.0002,0.02930181659758091
7,100,16,19,0.0002,0.02677849680185318
8,100,0,19,0.0002,0.03210614621639252
8,100,4,19,0.0002,0.10016942769289017
8,100,8,19,0.0002,0.04848894849419594
8,100,12,19,0.0002,0.08598223328590393
8,100,16,19,0.0002,0.053585927933454514
9,100,0,19,0.0002,0.10362714529037476
9,100,4,19,0.0002,0.1595865935087204
9,100,8,19,0.0002,0.10491423308849335
9,100,12,19,0.0002,0.1466449648141861
9,100,16,19,0.0002,0.12832799553871155
10,100,0,19,0.0002,0.05650583282113075
10,100,4,19,0.0002,0.1271832287311554
10,100,8,19,0.0002,0.08659958094358444
10,100,12,19,0.0002,0.13090357184410095
10,100,16,19,0.0002,0.0687083899974823
11,100,0,19,0.0002,0.020002350211143494
11,100,4,19,0.0002,0.04683595895767212
11,100,8,19,0.0002,0.04765439033508301
11,100,12,19,0.0002,0.020455334335565567
11,100,16,19,0.0002,0.013580350205302238
12,100,0,19,0.0002,0.006976759061217308
12,100,4,19,0.0002,0.008585096336901188
12,100,8,19,0.0002,0.005281220190227032
12,100,12,19,0.0002,0.013779825530946255
12,100,16,19,0.0002,0.008217818103730679
13,100,0,19,0.0002,0.00926563236862421
13,100,4,19,0.0002,0.00858940090984106
13,100,8,19,0.0002,0.026608135551214218
13,100,12,19,0.0002,0.0057546463795006275
13,100,16,19,0.0002,0.02974718064069748
14,100,0,19,0.0002,0.0071182227693498135
14,100,4,19,0.0002,0.007816403172910213
14,100,8,19,0.0002,0.009937533177435398
14,100,12,19,0.0002,0.008240933530032635
14,100,16,19,0.0002,0.05915291607379913
15,100,0,19,0.0002,0.004467288963496685
15,100,4,19,0.0002,0.06652826815843582
15,100,8,19,0.0002,0.04449393227696419
15,100,12,19,0.0002,0.025080252438783646
15,100,16,19,0.0002,0.07575662434101105
16,100,0,19,0.0002,0.016071414574980736
16,100,4,19,0.0002,0.1332007497549057
16,100,8,19,0.0002,0.2013201117515564
16,100,12,19,0.0002,0.09439194202423096
16,100,16,19,0.0002,0.14590591192245483
17,100,0,19,0.0002,0.08649512380361557
17,100,4,19,0.0002,0.10463439673185349
17,100,8,19,0.0002,0.08587107807397842
17,100,12,19,0.0002,0.06387273967266083
17,100,16,19,0.0002,0.07574157416820526
18,100,0,19,0.0002,0.037032973021268845
18,100,4,19,0.0002,0.0967337116599083
18,100,8,19,0.0002,0.08613355457782745
18,100,12,19,0.0002,0.055613428354263306
18,100,16,19,0.0002,0.05225208401679993
19,100,0,19,0.0002,0.008352821692824364
19,100,4,19,0.0002,0.05028139054775238
19,100,8,19,0.0002,0.05251576006412506
19,100,12,19,0.0002,0.08306440711021423
19,100,16,19,0.0002,0.0200557429343462
20,100,0,19,0.0002,0.015277081169188023
20,100,4,19,0.0002,0.11257807165384293
20,100,8,19,0.0002,0.03834015503525734
20,100,12,19,0.0002,0.08245369791984558
20,100,16,19,0.0002,0.05790482461452484
21,100,0,19,0.0002,0.0492275133728981
21,100,4,19,0.0002,0.0225982703268528
21,100,8,19,0.0002,0.009295212104916573
21,100,12,19,0.0002,0.012263129465281963
21,100,16,19,0.0002,0.008410974405705929
22,100,0,19,0.0002,0.00520755909383297
22,100,4,19,0.0002,0.006707094609737396
22,100,8,19,0.0002,0.005122413858771324
22,100,12,19,0.0002,0.028231043368577957
22,100,16,19,0.0002,0.00528726726770401
23,100,0,19,0.0002,0.008133930154144764
23,100,4,19,0.0002,0.002279532141983509
23,100,8,19,0.0002,0.0025473511777818203
23,100,12,19,0.0002,0.0028859111480414867
23,100,16,19,0.0002,0.001978176413103938
24,100,0,19,0.0002,0.0022789021022617817
24,100,4,19,0.0002,0.06417154520750046
24,100,8,19,0.0002,0.008650184608995914
24,100,12,19,0.0002,0.0030954559333622456
24,100,16,19,0.0002,0.002753509907051921
25,100,0,19,0.0002,0.014294574968516827
25,100,4,19,0.0002,0.08195550739765167
25,100,8,19,0.0002,0.13950185477733612
25,100,12,19,0.0002,0.06974637508392334
25,100,16,19,0.0002,0.09098468720912933
26,100,0,19,0.0002,0.039233092218637466
26,100,4,19,0.0002,0.0899563655257225
26,100,8,19,0.0002,0.08642175048589706
26,100,12,19,0.0002,0.05053131282329559
26,100,16,19,0.0002,0.030068160966038704
27,100,0,19,0.0002,0.027578648179769516
27,100,4,19,0.0002,0.05066029354929924
27,100,8,19,0.0002,0.09458385407924652
27,100,12,19,0.0002,0.08557750284671783
27,100,16,19,0.0002,0.07212556898593903
28,100,0,19,0.0002,0.027121946215629578
28,100,4,19,0.0002,0.1182454377412796
28,100,8,19,0.0002,0.08439856022596359
28,100,12,19,0.0002,0.06644432246685028
28,100,16,19,0.0002,0.050189465284347534
29,100,0,19,0.0002,0.021906699985265732
29,100,4,19,0.0002,0.06168220192193985
29,100,8,19,0.0002,0.05565231293439865
29,100,12,19,0.0002,0.036051154136657715
29,100,16,19,0.0002,0.023441201075911522
30,100,0,19,0.0002,0.010434096679091454
30,100,4,19,0.0002,0.04299992322921753
30,100,8,19,0.0002,0.006323740351945162
30,100,12,19,0.0002,0.012521187774837017
30,100,16,19,0.0002,0.04016854241490364
31,100,0,19,0.0002,0.01135493814945221
31,100,4,19,0.0002,0.07731221616268158
31,100,8,19,0.0002,0.05372236296534538
31,100,12,19,0.0002,0.12745241820812225
31,100,16,19,0.0002,0.04120175540447235
32,100,0,19,0.0002,0.06680119037628174
32,100,4,19,0.0002,0.11591552197933197
32,100,8,19,0.0002,0.08063187450170517
32,100,12,19,0.0002,0.0173959843814373
32,100,16,19,0.0002,0.0641692727804184
33,100,0,19,0.0002,0.058453407138586044
33,100,4,19,0.0002,0.05307444930076599
33,100,8,19,0.0002,0.01267293468117714
33,100,12,19,0.0002,0.011553473770618439
33,100,16,19,0.0002,0.014236271381378174
34,100,0,19,0.0002,0.013524451293051243
34,100,4,19,0.0002,0.019953463226556778
34,100,8,19,0.0002,0.013483138754963875
34,100,12,19,0.0002,0.02346743829548359
34,100,16,19,0.0002,0.01241572480648756
35,100,0,19,0.0002,0.033011555671691895
35,100,4,19,0.0002,0.006331924349069595
35,100,8,19,0.0002,0.029214244335889816
35,100,12,19,0.0002,0.002642865991219878
35,100,16,19,0.0002,0.013959920965135098
36,100,0,19,0.0002,0.0036690705455839634
36,100,4,19,0.0002,0.03975771740078926
36,100,8,19,0.0002,0.08059103786945343
36,100,12,19,0.0002,0.11743330955505371
36,100,16,19,0.0002,0.1533573716878891
37,100,0,19,0.0002,0.015234196558594704
37,100,4,19,0.0002,0.05776986479759216
37,100,8,19,0.0002,0.11564122140407562
37,100,12,19,0.0002,0.20472708344459534
37,100,16,19,0.0002,0.06817616522312164
38,100,0,19,0.0002,0.03211677819490433
38,100,4,19,0.0002,0.060083724558353424
38,100,8,19,0.0002,0.010951368138194084
38,100,12,19,0.0002,0.01837317645549774
38,100,16,19,0.0002,0.024653490632772446
39,100,0,19,0.0002,0.0075949011370539665
39,100,4,19,0.0002,0.012866085395216942
39,100,8,19,0.0002,0.022784192115068436
39,100,12,19,0.0002,0.0046328650787472725
39,100,16,19,0.0002,0.007070132065564394
40,100,0,19,0.0002,0.01164804957807064
40,100,4,19,0.0002,0.007769047748297453
40,100,8,19,0.0002,0.002171993488445878
40,100,12,19,0.0002,0.004429594147950411
40,100,16,19,0.0002,0.004924982786178589
41,100,0,19,0.0002,0.004406185355037451
41,100,4,19,0.0002,0.045204855501651764
41,100,8,19,0.0002,0.03179861605167389
41,100,12,19,0.0002,0.009738579392433167
41,100,16,19,0.0002,0.005880692042410374
42,100,0,19,0.0002,0.00435201171785593
42,100,4,19,0.0002,0.043090060353279114
42,100,8,19,0.0002,0.08236368000507355
42,100,12,19,0.0002,0.024191541597247124
42,100,16,19,0.0002,0.006688613444566727
43,100,0,19,0.0002,0.05765160918235779
43,100,4,19,0.0002,0.06343540549278259
43,100,8,19,0.0002,0.03837420418858528
43,100,12,19,0.0002,0.040399521589279175
43,100,16,19,0.0002,0.07086774706840515
44,100,0,19,0.0002,0.030444340780377388
44,100,4,19,0.0002,0.015490805730223656
44,100,8,19,0.0002,0.03146997094154358
44,100,12,19,0.0002,0.011879388242959976
44,100,16,19,0.0002,0.013415602967143059
45,100,0,19,0.0002,0.009869052097201347
45,100,4,19,0.0002,0.004787657409906387
45,100,8,19,0.0002,0.007542815525084734
45,100,12,19,0.0002,0.00989491306245327
45,100,16,19,0.0002,0.0180111825466156
46,100,0,19,0.0002,0.01264016143977642
46,100,4,19,0.0002,0.01893046498298645
46,100,8,19,0.0002,0.002212314400821924
46,100,12,19,0.0002,0.010738417506217957
46,100,16,19,0.0002,0.011475466191768646
47,100,0,19,0.0002,0.0036160829477012157
47,100,4,19,0.0002,0.004544585943222046
47,100,8,19,0.0002,0.003640045179054141
47,100,12,19,0.0002,0.004271261394023895
47,100,16,19,0.0002,0.010601520538330078
48,100,0,19,0.0002,0.002010630676522851
48,100,4,19,0.0002,0.24162767827510834
48,100,8,19,0.0002,0.18524795770645142
48,100,12,19,0.0002,0.01673807203769684
48,100,16,19,0.0002,0.24530747532844543
49,100,0,19,0.0002,0.06654153764247894
49,100,4,19,0.0002,0.05630107969045639
49,100,8,19,0.0002,0.05698099359869957
