,accuracy,precision,recall,f1,auc,mcc
0,0.5949926362297496,0.6157635467980296,0.20938023450586266,0.3125,0.6489653699949595,0.14878228677116864
1,0.6524300441826215,0.6731301939058172,0.40703517587939697,0.5073068893528184,0.6917504737881259,0.28309849830739614
2,0.6752577319587629,0.6287128712871287,0.6381909547738693,0.6334164588528679,0.7469850346784294,0.3420026896648989
3,0.7017673048600883,0.6967213114754098,0.5695142378559463,0.6267281105990783,0.7654104953149454,0.38795359302305527
4,0.6804123711340206,0.6014943960149439,0.8090452261306532,0.69,0.7815115877239902,0.3922993075021715
5,0.7179675994108984,0.7743589743589744,0.5058626465661642,0.6119554204660589,0.8008879262717442,0.42808002692002023
6,0.6848306332842415,0.8028673835125448,0.37520938023450584,0.5114155251141552,0.7851478152919655,0.37214966845125513
7,0.7415316642120766,0.6892307692307692,0.7504187604690117,0.7185244587008821,0.8149463920566477,0.4818687003088142
8,0.7282768777614138,0.740506329113924,0.5879396984924623,0.6554621848739496,0.809632921506349,0.44390494106090245
9,0.7371134020618557,0.6685393258426966,0.7973199329983249,0.7272727272727273,0.8235108965766195,0.4842080487559903
10,0.7083946980854198,0.8054711246200608,0.4438860971524288,0.572354211663067,0.8210412553349313,0.4167910586538591
11,0.7533136966126657,0.7347670250896058,0.6867671691792295,0.70995670995671,0.8314833035083433,0.4966324384974956
12,0.7511045655375552,0.7078651685393258,0.7386934673366834,0.722950819672131,0.8272439728207397,0.49757351940616695
13,0.7466863033873343,0.6809728183118741,0.7973199329983249,0.7345679012345677,0.8339617491751354,0.5008109065086851
14,0.7577319587628866,0.7576923076923077,0.6599664991624791,0.7054610564010743,0.8301934552305987,0.5048121275999289
