,accuracy,precision,recall,f1,auc,mcc
0,0.6067746686303387,0.5500794912559619,0.5795644891122278,0.564437194127243,0.638609164966312,0.20672658867851146
1,0.6973490427098674,0.658703071672355,0.6465661641541038,0.6525781910397296,0.740478564526531,0.3845696754404533
2,0.7164948453608248,0.7054263565891473,0.609715242881072,0.6540880503144655,0.7627097379142758,0.4192366172779071
3,0.7120765832106039,0.7959770114942529,0.4639865996649916,0.5862433862433863,0.7858257560249782,0.42144225110471384
4,0.7201767304860088,0.6764227642276422,0.6968174204355109,0.6864686468646863,0.8015218448792364,0.43406577348647346
5,0.7466863033873343,0.7555555555555555,0.626465661641541,0.6849816849816849,0.819271565889016,0.4820809725400762
6,0.7172312223858616,0.65149359886202,0.7671691792294807,0.7046153846153846,0.8035556670782735,0.4422421261139729
7,0.7304860088365243,0.6757990867579908,0.7437185929648241,0.7081339712918661,0.8184593576731666,0.4606708719799731
8,0.7430044182621502,0.7246376811594203,0.6700167504187605,0.6962576153176676,0.8308009605627787,0.4752241906272122
9,0.7120765832106039,0.6303797468354431,0.8341708542713567,0.7180966113914924,0.8224939854771007,0.453265881670567
10,0.7444771723122239,0.749003984063745,0.6298157453936348,0.6842584167424932,0.8362619052335702,0.4773502708625619
11,0.7540500736377025,0.7263339070567987,0.7068676716917923,0.7164685908319185,0.8389516571028599,0.4995178460834477
12,0.7488954344624448,0.6833810888252149,0.7989949748743719,0.7366795366795366,0.8345736567198675,0.5050630487541965
13,0.7363770250368189,0.7558886509635975,0.5912897822445561,0.6635338345864662,0.8424117961687545,0.46131759009333856
14,0.7422680412371134,0.7388781431334622,0.6398659966499163,0.6858168761220826,0.8388283951514032,0.472735000978021
15,0.7643593519882179,0.7147286821705426,0.7721943048576214,0.7423510466988728,0.8425900857771115,0.527186485170973
16,0.7407952871870398,0.7536231884057971,0.609715242881072,0.6740740740740742,0.8437302588280868,0.47003251953469405
17,0.7533136966126657,0.6926470588235294,0.7889447236180904,0.7376664056382145,0.8384410004468246,0.5105424495764684
18,0.7695139911634757,0.7246835443037974,0.7671691792294807,0.7453213995117982,0.8449298617485148,0.5358665249637853
19,0.748159057437408,0.7514792899408284,0.6381909547738693,0.6902173913043479,0.8432746298289521,0.48497820549268983
20,0.7650957290132547,0.7068452380952381,0.7956448911222781,0.7486209613869189,0.8449012473669266,0.5328746574882143
21,0.7201767304860088,0.7908847184986595,0.49413735343383586,0.6082474226804123,0.835099721119835,0.4355065717236174
22,0.7673048600883653,0.7151607963246555,0.7822445561139029,0.7472,0.8475249660479356,0.5342847931752224
23,0.759941089837997,0.6932952924393724,0.8140703517587939,0.74884437596302,0.8470847447927328,0.527934157853275
24,0.7606774668630338,0.7556390977443609,0.6733668341708543,0.7121346324180691,0.8480554326604551,0.5109794149198431
25,0.7496318114874816,0.6693017127799736,0.8509212730318257,0.7492625368731564,0.8433274563795764,0.5209063896020132
26,0.7695139911634757,0.7327868852459016,0.7487437185929648,0.7406793703396852,0.8471661857249454,0.5334007564224733
27,0.7577319587628866,0.7255892255892256,0.7219430485762144,0.723761544920235,0.847567887620318,0.5080313899043382
28,0.7658321060382917,0.7275693311582382,0.7470686767169179,0.737190082644628,0.8453073514748514,0.5262508969240127
29,0.7577319587628866,0.6801075268817204,0.847571189279732,0.7546607009694258,0.8444566238991716,0.5333599242435801
30,0.7592047128129602,0.7463503649635036,0.6850921273031826,0.714410480349345,0.8440802347259733,0.5083103420641499
31,0.7680412371134021,0.7296416938110749,0.7504187604690117,0.7398843930635839,0.8479200646244802,0.5308268048404314
32,0.7650957290132547,0.7241935483870968,0.7520938023450586,0.7378800328677074,0.8456122046940793,0.5255171810578316
33,0.7533136966126657,0.6932153392330384,0.7872696817420436,0.7372549019607844,0.8460040016112098,0.5101841097732922
34,0.7658321060382917,0.746031746031746,0.7085427135678392,0.7268041237113402,0.8462384194296053,0.5226766589508431
35,0.7569955817378498,0.6915351506456241,0.8073701842546064,0.7449768160741886,0.8463902957626503,0.5211890107136595
36,0.7562592047128129,0.7216666666666667,0.7252931323283082,0.7234753550543025,0.8395261458408997,0.5055763613133567
37,0.7592047128129602,0.7096273291925466,0.7654941373534339,0.7365028203062047,0.8427089455160164,0.5166475176814398
38,0.7650957290132547,0.7256493506493507,0.7487437185929648,0.7370156636438582,0.8435860863670082,0.5250778607408021
39,0.7643593519882179,0.7289256198347107,0.7386934673366834,0.7337770382695507,0.8411934838449805,0.5224704381155674
40,0.7636229749631811,0.7490974729241877,0.695142378559464,0.7211120764552564,0.8427529676415367,0.5175833152480945
41,0.7650957290132547,0.7199367088607594,0.7621440536013401,0.7404393816110659,0.842047513080074,0.5269434471304555
42,0.7665684830633285,0.7215189873417721,0.7638190954773869,0.7420667209113099,0.8432548198724679,0.529917806408232
43,0.7577319587628866,0.7100313479623824,0.7587939698492462,0.7336032388663967,0.8418505140683707,0.5128542555029297
44,0.7643593519882179,0.7274220032840722,0.7420435510887772,0.7346600331674958,0.8426748283687382,0.5228609725155984
45,0.7577319587628866,0.7074303405572755,0.7654941373534339,0.7353177795655672,0.843737962700053,0.5139591577224925
46,0.7650957290132547,0.7413194444444444,0.7152428810720268,0.7280477408354645,0.8430182009477963,0.5216831977022359
47,0.7717231222385862,0.7444633730834753,0.7319932998324958,0.7381756756756757,0.842648415093426,0.5359114676595639
48,0.7606774668630338,0.7079510703363915,0.7755443886097152,0.7402078337330136,0.8425537675235573,0.5210729195133105
49,0.7628865979381443,0.7425044091710759,0.7051926298157454,0.7233676975945017,0.8407840780776418,0.5166597907214134
50,0.7695139911634757,0.7398648648648649,0.7336683417085427,0.7367535744322962,0.8424789299101729,0.5317978177130097
51,0.7474226804123711,0.6824712643678161,0.7956448911222781,0.734725444702243,0.8415522641679709,0.5016969776917649
52,0.7621502209131075,0.7174603174603175,0.7571189279731994,0.736756316218419,0.8424150978281685,0.5207444927614929
53,0.751840942562592,0.6900584795321637,0.7906197654941374,0.7369242779078843,0.8400907296006973,0.5083051312068525
54,0.7592047128129602,0.7198697068403909,0.7403685092127303,0.7299752270850538,0.8385862734610415,0.5129413135953219
55,0.7562592047128129,0.6985074626865672,0.7839195979899497,0.7387529597474348,0.8418527151746468,0.5147298673910854
