,accuracy,precision,recall,f1,auc,mcc
0,0.6913793103448276,0.0,0.0,0.0,0.6515680419452973,-0.038983891417949314
1,0.6896551724137931,0.4842105263157895,0.2598870056497175,0.338235294117647,0.6742930843532265,0.17207796498536806
2,0.7086206896551724,0.5909090909090909,0.14689265536723164,0.23529411764705885,0.697396643815452,0.1777864960598556
3,0.7189655172413794,0.5421686746987951,0.5084745762711864,0.5247813411078717,0.718789866958265,0.3258998833094894
4,0.7137931034482758,0.5617977528089888,0.2824858757062147,0.37593984962406013,0.7210749884342011,0.23726989096102508
5,0.7,0.5107913669064749,0.4011299435028249,0.44936708860759494,0.7158178071245321,0.25069177559392514
6,0.6672413793103448,0.4652173913043478,0.6045197740112994,0.5257985257985257,0.7070137808246062,0.2817479617589674
7,0.6793103448275862,0.4790697674418605,0.5819209039548022,0.5255102040816326,0.7161963241788282,0.28983752203784485
8,0.6844827586206896,0.4835164835164835,0.4971751412429379,0.4902506963788301,0.6998640142434566,0.26190372061312234
9,0.6982758620689655,0.5063291139240507,0.4519774011299435,0.47761194029850745,0.7117802918787063,0.26729796842056736
10,0.6896551724137931,0.49230769230769234,0.5423728813559322,0.5161290322580645,0.7122008663834798,0.28922208067481703
11,0.7103448275862069,0.5338345864661654,0.4011299435028249,0.45806451612903226,0.7220703480954984,0.27086645377372515
12,0.7068965517241379,0.5209580838323353,0.4915254237288136,0.5058139534883721,0.7204441266770409,0.29798516778442247
13,0.696551724137931,0.503030303030303,0.4689265536723164,0.48538011695906436,0.7182150818017412,0.2709318938239323
14,0.7103448275862069,0.5310344827586206,0.4350282485875706,0.47826086956521735,0.716757090185193,0.2831858258462176
15,0.7137931034482758,0.5359477124183006,0.4632768361581921,0.49696969696969695,0.7225469992009084,0.29999218197930955
16,0.7137931034482758,0.539568345323741,0.423728813559322,0.47468354430379744,0.7184534073544462,0.2857768283403754
17,0.7068965517241379,0.5207100591715976,0.4971751412429379,0.5086705202312138,0.7260377675905286,0.3001472805376447
18,0.7241379310344828,0.5648854961832062,0.4180790960451977,0.48051948051948057,0.7240330291177749,0.304645762264226
19,0.7103448275862069,0.5276073619631901,0.4858757062146893,0.5058823529411764,0.7224909226002719,0.3020074351783907
20,0.7103448275862069,0.5263157894736842,0.5084745762711864,0.5172413793103449,0.7199113989709944,0.31052686097578974
21,0.7206896551724138,0.5483870967741935,0.480225988700565,0.5120481927710844,0.7214815437888153,0.31897012700487687
22,0.7103448275862069,0.5286624203821656,0.4689265536723164,0.4970059880239521,0.7198272840700396,0.2956831581110246
23,0.7189655172413794,0.5507246376811594,0.4293785310734463,0.4825396825396825,0.7227432673031361,0.2979621625177191
24,0.7189655172413794,0.5538461538461539,0.4067796610169492,0.4690553745928339,0.7259256143892558,0.2902579895118563
25,0.7206896551724138,0.5517241379310345,0.4519774011299435,0.49689440993788814,0.7201777628240176,0.30912651218327575
26,0.7206896551724138,0.546583850931677,0.4971751412429379,0.5207100591715976,0.7253928866832093,0.3249769850926571
27,0.7224137931034482,0.5533333333333333,0.4689265536723164,0.5076452599388379,0.724762024926049,0.3182977940456494
28,0.7,0.5080213903743316,0.536723163841808,0.521978021978022,0.7270892038524626,0.3038688528461262
29,0.7258620689655172,0.56,0.4745762711864407,0.5137614678899083,0.7193646521147887,0.3268486379801782
30,0.7293103448275862,0.5694444444444444,0.4632768361581921,0.5109034267912772,0.7258975760889373,0.3298207998328941
31,0.7241379310344828,0.5602836879432624,0.4463276836158192,0.4968553459119497,0.724523699373344,0.31397551781455746
32,0.7051724137931035,0.5161290322580645,0.5423728813559322,0.5289256198347108,0.7212011607856332,0.31476783997178726
33,0.7086206896551724,0.5363636363636364,0.3333333333333333,0.41114982578397213,0.6847093129214508,0.242888857760572
34,0.696551724137931,0.5042735042735043,0.3333333333333333,0.40136054421768713,0.6968919544097236,0.21735263588573436
35,0.7,0.509090909090909,0.4745762711864407,0.49122807017543857,0.708625983092905,0.2792308374953282
36,0.6931034482758621,0.4971751412429379,0.4971751412429379,0.4971751412429379,0.6867701279948409,0.27633146878636217
37,0.7017241379310345,0.5135135135135135,0.4293785310734463,0.4676923076923077,0.7026538251251209,0.2648212150393262
38,0.696551724137931,0.5029585798816568,0.480225988700565,0.49132947976878616,0.7083596192398817,0.2754274306708628
39,0.7,0.5086705202312138,0.4971751412429379,0.5028571428571428,0.7027239208759166,0.28812109504638655
40,0.7,0.5111111111111111,0.3898305084745763,0.4423076923076923,0.7047987550994659,0.24632794135359085
41,0.7034482758620689,0.5193798449612403,0.3785310734463277,0.4379084967320262,0.7119064642301384,0.24878830118111586
42,0.7,0.5099337748344371,0.4350282485875706,0.46951219512195125,0.708990480997042,0.26381329150625427
43,0.6948275862068966,0.5,0.5084745762711864,0.5042016806722689,0.7132382834952545,0.2838216654376411
44,0.696551724137931,0.5036496350364964,0.3898305084745763,0.4394904458598727,0.7131822068946181,0.2396944226851302
45,0.7,0.5111111111111111,0.3898305084745763,0.4423076923076923,0.7127616323898445,0.24632794135359085
46,0.6931034482758621,0.49700598802395207,0.4689265536723164,0.4825581395348837,0.7125092876869804,0.2649089709871467
47,0.7034482758620689,0.515527950310559,0.4689265536723164,0.49112426035502954,0.7148224474632348,0.283170958531476
48,0.7068965517241379,0.5321100917431193,0.327683615819209,0.40559440559440557,0.717584220044581,0.23708181290502478
49,0.6913793103448276,0.4946236559139785,0.519774011299435,0.5068870523415977,0.7145420644600524,0.2826797220029611
50,0.7137931034482758,0.5433070866141733,0.3898305084745763,0.4539473684210527,0.7163084773801013,0.2738194102989363
51,0.7051724137931035,0.5223880597014925,0.3954802259887006,0.45016077170418006,0.7151028304664171,0.25856212665112693
52,0.7120689655172414,0.5462962962962963,0.3333333333333333,0.41403508771929826,0.7176823540956948,0.25047820575159
53,0.6810344827586207,0.48095238095238096,0.5706214689265536,0.5219638242894057,0.7122569429841163,0.28758551087016143
54,0.7,0.5089820359281437,0.480225988700565,0.49418604651162795,0.7119345025304566,0.28144706938578457
