,accuracy,precision,recall,f1,auc,mcc
0,0.6931034482758621,0.49019607843137253,0.14124293785310735,0.21929824561403513,0.6018561354810672,0.12475942595996076
1,0.6827586206896552,0.37037037037037035,0.05649717514124294,0.09803921568627451,0.63039912520503,0.03128543069332589
2,0.6844827586206896,0.36363636363636365,0.04519774011299435,0.08040201005025126,0.6263756291093634,0.025209906290973923
3,0.6706896551724137,0.26666666666666666,0.04519774011299435,0.07729468599033817,0.6279457739271845,-0.019529614662722124
4,0.6793103448275862,0.3333333333333333,0.05084745762711865,0.08823529411764705,0.6313103699653727,0.013513099839134887
5,0.6741379310344827,0.35,0.07909604519774012,0.12903225806451613,0.6416845410831196,0.026495206425374566
6,0.6879310344827586,0.45652173913043476,0.11864406779661017,0.1883408071748879,0.6592645553826527,0.09646674261883377
7,0.6844827586206896,0.4444444444444444,0.13559322033898305,0.2077922077922078,0.6578766595169,0.09690735789011198
8,0.6844827586206896,0.45588235294117646,0.1751412429378531,0.2530612244897959,0.6585355595743787,0.11927521488716646
9,0.6827586206896552,0.4567901234567901,0.20903954802259886,0.28682170542635654,0.660610393797928,0.13265725481421364
10,0.6827586206896552,0.4639175257731959,0.2542372881355932,0.3284671532846715,0.663484319580547,0.15449040105715242
11,0.6982758620689655,0.5102040816326531,0.2824858757062147,0.3636363636363637,0.6663302070628478,0.20077022261366398
12,0.6844827586206896,0.4732142857142857,0.2994350282485876,0.3667820069204152,0.6712369096185389,0.17852228331801231
13,0.6827586206896552,0.47107438016528924,0.3220338983050847,0.38255033557046975,0.6701714542064461,0.1849808255313519
14,0.6827586206896552,0.46846846846846846,0.2937853107344633,0.3611111111111111,0.6636665685326155,0.17252005876700935
15,0.6948275862068966,0.5,0.3333333333333333,0.4,0.6793960550111453,0.21382540491209157
16,0.6913793103448276,0.4915254237288136,0.327683615819209,0.3932203389830508,0.6758211717205704,0.20452446484541892
17,0.6844827586206896,0.4772727272727273,0.3559322033898305,0.4077669902912622,0.6622366152163855,0.20287029340408222
18,0.7017241379310345,0.5153846153846153,0.3785310734463277,0.4364820846905538,0.6654610197529827,0.24536475380068917
19,0.6948275862068966,0.5,0.3672316384180791,0.42345276872964166,0.6528998612104133,0.22740745951622232
20,0.6896551724137931,0.4888888888888889,0.3728813559322034,0.42307692307692313,0.6587318276766062,0.2197474379145057
21,0.6896551724137931,0.4897959183673469,0.4067796610169492,0.4444444444444445,0.6692461902959442,0.2336095254052006
22,0.6827586206896552,0.4755244755244755,0.384180790960452,0.425,0.6476707182010626,0.21162332401211073
23,0.6844827586206896,0.47761194029850745,0.3615819209039548,0.41157556270096457,0.6395396111087746,0.20526297958644726
