,accuracy,precision,recall,f1,auc,mcc
0,0.6948275862068966,0.0,0.0,0.0,0.674110835401158,0.0
1,0.7017241379310345,0.6666666666666666,0.04519774011299435,0.08465608465608465,0.6902608963844611,0.1141055292396451
2,0.7086206896551724,0.6538461538461539,0.096045197740113,0.16748768472906406,0.7023173655213021,0.16403626388447942
3,0.696551724137931,0.5384615384615384,0.03954802259887006,0.0736842105263158,0.7106587598659769,0.07671203037898708
4,0.7103448275862069,0.7368421052631579,0.07909604519774012,0.14285714285714285,0.7176543157953764,0.17251853600665898
5,0.7224137931034482,0.6739130434782609,0.1751412429378531,0.27802690582959644,0.7279023145616913,0.2350271951174063
6,0.7293103448275862,0.6612903225806451,0.23163841807909605,0.34309623430962344,0.7421317519731954,0.2675553359074773
7,0.7275862068965517,0.6338028169014085,0.2542372881355932,0.3629032258064516,0.7433373988868794,0.2665427413382524
8,0.75,0.6702127659574468,0.3559322033898305,0.4649446494464945,0.7530386507969886,0.34863862831886183
9,0.756896551724138,0.7045454545454546,0.3502824858757062,0.46792452830188674,0.765025024183034,0.36679749998269134
10,0.7448275862068966,0.6494845360824743,0.3559322033898305,0.45985401459854014,0.7651511965344661,0.3350838157964505
11,0.7517241379310344,0.6486486486486487,0.4067796610169492,0.5,0.768852252176473,0.3628779662812592
12,0.75,0.635593220338983,0.423728813559322,0.5084745762711865,0.7711233545022501,0.362640445978854
13,0.7448275862068966,0.6058394160583942,0.4689265536723164,0.5286624203821656,0.7740112994350282,0.36310566561222785
14,0.7706896551724138,0.6410256410256411,0.5649717514124294,0.6006006006006006,0.7830396321374998,0.44240266453726795
15,0.7137931034482758,0.5413533834586466,0.4067796610169492,0.4645161290322581,0.7503049165159608,0.2797729985431996
16,0.7482758620689656,0.6013071895424836,0.519774011299435,0.5575757575757575,0.7829555172365452,0.3849550539691526
17,0.7517241379310344,0.6170212765957447,0.4915254237288136,0.5471698113207546,0.794170837363839,0.3838047083748578
18,0.7724137931034483,0.630057803468208,0.615819209039548,0.6228571428571429,0.7934278224054057,0.4599862665858835
19,0.7362068965517241,0.5625,0.6101694915254238,0.5853658536585366,0.7695812479847471,0.3931062376694952
20,0.7620689655172413,0.6077348066298343,0.6214689265536724,0.6145251396648045,0.8044889318809494,0.44254416925079937
21,0.7586206896551724,0.6045197740112994,0.6045197740112994,0.6045197740112994,0.8024140976574,0.4308225035398354
22,0.746551724137931,0.5742574257425742,0.655367231638418,0.612137203166227,0.7862079600734604,0.42717726448786053
23,0.7344827586206897,0.5649717514124294,0.5649717514124294,0.5649717514124294,0.7840349917987971,0.37390475389381894
24,0.743103448275862,0.5795454545454546,0.576271186440678,0.5779036827195467,0.800016822980191,0.3932746244808232
25,0.7293103448275862,0.55,0.6214689265536724,0.5835543766578251,0.7793525956456521,0.38572020388962497
26,0.7637931034482759,0.6086956521739131,0.632768361581921,0.6204986149584488,0.8083161598743884,0.4493058808929528
27,0.7620689655172413,0.6089385474860335,0.615819209039548,0.6123595505617977,0.7929511712999958,0.4407400535095189
28,0.756896551724138,0.5947368421052631,0.6384180790960452,0.6158038147138963,0.7984466781623698,0.43891310077146833
29,0.7517241379310344,0.583756345177665,0.6497175141242938,0.6149732620320856,0.7879883921436682,0.43388898630126305
30,0.7327586206896551,0.5617977528089888,0.5649717514124294,0.5633802816901409,0.781399391568883,0.37083895451887067
31,0.7293103448275862,0.5505050505050505,0.615819209039548,0.5813333333333333,0.7753851761506219,0.38357039293147555
32,0.7327586206896551,0.5625,0.559322033898305,0.5609065155807366,0.7728056525213441,0.3688423963104207
33,0.7344827586206897,0.5628415300546448,0.5819209039548022,0.5722222222222222,0.7694130181828378,0.37991067491235253
34,0.7310344827586207,0.5586592178770949,0.5649717514124294,0.5617977528089887,0.7903716476707181,0.36778881910803213
35,0.746551724137931,0.5721153846153846,0.672316384180791,0.618181818181818,0.7969045716448668,0.4334784624923958
36,0.746551724137931,0.5903614457831325,0.5536723163841808,0.5714285714285715,0.7876379133896904,0.39217104899254795
37,0.743103448275862,0.5786516853932584,0.5819209039548022,0.580281690140845,0.7863341324248925,0.39519389453784987
38,0.7155172413793104,0.529126213592233,0.615819209039548,0.5691906005221932,0.7679690457164488,0.36094836745146563
39,0.7413793103448276,0.5658536585365853,0.655367231638418,0.6073298429319371,0.7786095806872186,0.4185621181176548
40,0.7396551724137931,0.5764705882352941,0.5536723163841808,0.5648414985590777,0.7889136560541701,0.37937459173883453
41,0.7379310344827587,0.5661375661375662,0.6045197740112994,0.5846994535519126,0.7882267176963733,0.3940160191861906
