,accuracy,precision,recall,f1,auc,mcc
0,0.6310344827586207,0.3954802259887006,0.3954802259887006,0.3954802259887006,0.6153005004836607,0.129971541125177
1,0.6741379310344827,0.44,0.24858757062146894,0.3176895306859206,0.6286747697354587,0.1336432345050315
2,0.6931034482758621,0.4935064935064935,0.21468926553672316,0.2992125984251968,0.672919207637633,0.16002178907930753
3,0.7068965517241379,0.5384615384615384,0.2768361581920904,0.3656716417910448,0.7109531620193184,0.218549389417954
4,0.7258620689655172,0.59,0.3333333333333333,0.42599277978339345,0.7325706915646774,0.2823256053738005
5,0.7137931034482758,0.5486725663716814,0.3502824858757062,0.4275862068965517,0.7291920763763301,0.2601170718273022
6,0.7241379310344828,0.568,0.4011299435028249,0.4701986754966887,0.7447393139027912,0.29916383513006006
7,0.7137931034482758,0.5433070866141733,0.3898305084745763,0.4539473684210527,0.7392157687400989,0.2738194102989363
8,0.7344827586206897,0.5815602836879432,0.4632768361581921,0.5157232704402517,0.738024140976574,0.3401614642746701
9,0.7137931034482758,0.5374149659863946,0.4463276836158192,0.4876543209876543,0.7335660512259747,0.29386330046047754
10,0.7155172413793104,0.5422535211267606,0.4350282485875706,0.4827586206896552,0.74030926245251,0.2931520268778904
11,0.7017241379310345,0.5128205128205128,0.4519774011299435,0.4804804804804805,0.7398886879477365,0.2735244590406144
12,0.7137931034482758,0.5341614906832298,0.4858757062146893,0.5088757396449703,0.7430710350338563,0.30825457446818466
13,0.7051724137931035,0.5194805194805194,0.4519774011299435,0.48338368580060415,0.7432532839859248,0.2798227340873136
14,0.7172413793103448,0.536723163841808,0.536723163841808,0.536723163841808,0.7318697340567214,0.33324921843237865
15,0.7034482758620689,0.5142857142857142,0.5084745762711864,0.5113636363636364,0.7502488399153243,0.2985121460789007
16,0.6896551724137931,0.49142857142857144,0.4858757062146893,0.4886363636363636,0.7191824031627203,0.26588325661350376
17,0.7086206896551724,0.5224719101123596,0.5254237288135594,0.5239436619718311,0.7425102690274915,0.31401076114125254
18,0.696551724137931,0.5027932960893855,0.5084745762711864,0.5056179775280898,0.7195749393671755,0.28673189199526905
